moderator (19:50:24 PM):  made it huh :-).
tia (21:17:22 PM):  And you have to put Kiev on the list even if it's at the end.
ted (21:17:25 PM):  lol.
ariel (21:17:33 PM):  hey nothing wrong with it ted.
ted (21:17:36 PM):  we don;t have to put ir on the list.
ariel (21:17:37 PM):  just dont take my cutie.
ted (21:17:44 PM):  but i just wanted all of you to know.
rita (21:17:49 PM):  !: Amsterdam, 2: Athens, 3: Paris, 4: May Florance in stead of Rome, 5 : Madrid.
tia (21:18:02 PM):  looking good.
ariel (21:18:10 PM):  madrid before england?
ted (21:18:16 PM):  it is fine ariel.
rita (21:18:21 PM):  And tia, I only put Amsterdam as #1 so we could get "laid" by 9:30.
ariel (21:18:29 PM):  LOL~.
ariel (21:18:32 PM):  !!
tia (21:18:32 PM):  lol, rita.
ariel (21:18:39 PM):  man you guys are funny.
ariel (21:18:44 PM):  this has been the best chat yet.
ted (21:18:58 PM):  i think the younger crowd likes Amsterdam as the top choice.
ariel (21:19:01 PM):  i cant believe im getting paid for this.
tia (21:19:06 PM):  And ariel, cuisine-wise, Madrid would definitely go before the English.
leah (21:19:12 PM):  kik.
cinthia (21:19:13 PM):  nom nom nom.
cinthia (21:19:16 PM):  im getting hungry.
ted (21:19:16 PM):  start saving for amsterdam ariel.
leah (21:19:17 PM):  lol*.
rita (21:19:18 PM):  Yay ... throw a little potty mouth in there and it always spices thing up.
ariel (21:19:19 PM):  lol cinthia.
cinthia (21:19:20 PM):  can we stop talking about food.
leah (21:19:23 PM):  lol.
ariel (21:19:34 PM):  I'm a strict vegetarian anyway.
ariel (21:19:39 PM):  food is really not on my menus.
rita (21:19:52 PM):  Well, dependig one whether yo like steak and kidney pie or hagis.
ted (21:19:54 PM):  we don't know hows the food in Amsterdam though.
ariel (21:20:01 PM):  i dont care lol.
leah (21:20:03 PM):  lol.
cinthia (21:20:06 PM):  they may have deliscious lettuce.
ariel (21:20:07 PM):  my menu is full.
rita (21:20:08 PM):  Who cares you are high it all tases good.
rita (21:20:13 PM):  \tastes.
ted (21:20:13 PM):  lettuce?
tia (21:20:21 PM):  tulips.
leah (21:20:24 PM):  haha.
ariel (21:20:42 PM):  LOL.
ariel (21:21:01 PM):  you guys are awesome.
tia (21:21:04 PM):  I hear the beer is good.
ariel (21:21:05 PM):  i hope your in my group again.
rita (21:21:06 PM):  Have you ever heard that joke ... Honeymoon salad ... lettuce alone.
tia (21:21:14 PM):  lol.
leah (21:21:16 PM):  lol no.
ted (21:21:29 PM):  ok back to the cities.
ariel (21:21:30 PM):  no you hope your not or no you havent heard the joke before?
leah (21:21:39 PM):  no i havent heard it.
ariel (21:21:47 PM):  ok ted its 21 u can give it up i think.
ted (21:22:33 PM):  soon.
rita (21:22:57 PM):  Is everyone cool with #1 Amsterdam, #2 Athens, #3 Paris, #4 Rome (at least Italy somewhere), #5 Madrid, #6 London.
cinthia (21:23:02 PM):  yep.
leah (21:23:05 PM):  mhm.
tia (21:23:10 PM):  yes.
ted (21:23:24 PM):  yeah sure.
tia (21:23:29 PM):  Diane Lane, Under the Tuscan Sun, right?
cinthia (21:23:34 PM):  yep.
ted (21:23:41 PM):  i hope you guys get to go to athens sometime soon.
rita (21:23:47 PM):  It was fun seeing that movie after having been there.
cinthia (21:23:47 PM):  this summer.
leah (21:23:48 PM):  me too.
tia (21:23:57 PM):  you don't want us going to Amsterdam, ted?
cinthia (21:23:59 PM):  everyone keep ur fingers crossed for me plz.
tia (21:24:08 PM):  good luck cinthia.
cinthia (21:24:16 PM):  thx.
ted (21:24:19 PM):  yes.
leah (21:24:20 PM):  yea good luck cinthia.
ted (21:24:26 PM):  i want all of you to go to amsterdam.
rita (21:24:29 PM):  When I was at SUNY I had a Library Science prof who owned a house in Greece and said we could come visit.
ted (21:24:29 PM):  specially ariel.
cinthia (21:24:39 PM):  LMAO.
rita (21:24:40 PM):  I should have gone ... no she is dead.
rita (21:24:54 PM):  now she has passed away.
cinthia (21:25:00 PM):  oh no sorry.
leah (21:25:09 PM):  yea totally sucks.
ariel (21:25:11 PM):  what about me ted?
tia (21:25:13 PM):  I have a "pen pal" in Greece. We've been friends for over 30 years.
cinthia (21:25:21 PM):  send her my way tia.
leah (21:25:25 PM):  lol.
rita (21:25:26 PM):  She was crazy mean as a teacher but goign to Greece would have been fun!
tia (21:25:29 PM):  Saw her on both trips to Greece.
ariel (21:25:36 PM):  is he cute tia?
leah (21:25:39 PM):  lol.
ariel (21:25:41 PM):  oh wait 30 years?
ariel (21:25:44 PM):  nvm.
leah (21:25:46 PM):  how do you know its a guy ariel?
rita (21:25:47 PM):  You know her? Cool.
tia (21:25:47 PM):  lol.
leah (21:25:48 PM):  lol.
rita (21:26:00 PM):  Are you a tia I would probably know from the library?
tia (21:26:07 PM):  She's as old as I, married, with two boys.
ted (21:26:13 PM):  it was good to dream about traveling at least for this past 1.5 hours.
tia (21:26:16 PM):  I don't know if you know me from the library.
ariel (21:26:18 PM):  how old are the boys?
tia (21:26:26 PM):  I don't work there. I am a graduate student.
moderator (21:26:28 PM):  Hi all, as we near the end, I wanted to remind you to fill out the survey when you leave. http://scil.ils.albany.edu/survey_groupa.html.
ted (21:26:39 PM):  bon voyage!!!
tia (21:26:44 PM):  Oh, ariel, you're in the same age group AND THEY ARE CUTE!!!!!
ariel (21:26:45 PM):  YEY!
cinthia (21:26:49 PM):  bye!!!
leah (21:26:52 PM):  lol.
ariel (21:26:53 PM):  bye!
tia (21:26:57 PM):  good night everyone.
ariel (21:26:58 PM):  can i get their numbers?
cinthia (21:26:59 PM):  wait... just cuz i have a bf doesnt mean u cant hook me up tia!
leah (21:27:01 PM):  good night.
leah (21:27:08 PM):  hahahaha cinthia.
ariel (21:27:14 PM):  j/k .... kinda.
tia (21:27:14 PM):  what's "bf".
ted (21:27:17 PM):  that is the way to roll.
ariel (21:27:18 PM):  boyfriend.
tia (21:27:21 PM):  oh.
cinthia (21:27:31 PM):  but for reall.... hook it up.
leah (21:27:34 PM):  smh.
cinthia (21:27:34 PM):  or else :-x.
cinthia (21:27:36 PM):  lol.
leah (21:27:39 PM):  haha.
ted (21:27:43 PM):  i hope we meet in the face to face interviews.
ted (21:27:50 PM):  this was a fun chat.
cinthia (21:27:52 PM):  oh god haha.
tia (21:27:59 PM):  maybe they'll give us a party at the end.
leah (21:28:04 PM):  lol.
cinthia (21:28:06 PM):  haha lets ask.
leah (21:28:08 PM):  they should.
ted (21:28:10 PM):  or take us to amsterdam.
leah (21:28:13 PM):  =).
cinthia (21:28:17 PM):  leah all i wanna say to every ones comments is smh.
cinthia (21:28:21 PM):  its my new thing.
cinthia (21:28:21 PM):  haha.
leah (21:28:24 PM):  haha.
cinthia (21:28:26 PM):  oh ted good call.
leah (21:28:32 PM):  thats funny.
cinthia (21:28:37 PM):  do u think they will?
rita (21:28:50 PM):  tia - are you a student now?
tia (21:29:11 PM):  Yes. Working on dual M.S.I.S./M.A. History. I am a lawyer.
rita (21:29:17 PM):  Cool.
cinthia (21:29:25 PM):  oh awesome.
tia (21:29:28 PM):  Do you work in the library?
cinthia (21:29:29 PM):  alright goodbye guys!
rita (21:29:30 PM):  I finished the archives track in 1998.
leah (21:29:36 PM):  byee.
rita (21:30:02 PM):  then went to seattle for 10 years and was a librarian at a university and got a MEd.
ariel (21:30:24 PM):  archives?
rita (21:30:39 PM):  Good luck witht the dual program ... it is a really good idea.
rita (21:30:49 PM):  Yup.
rita (21:31:22 PM):  MLS in the Archives track.
rita (21:31:27 PM):  what do they call it now.
ariel (21:31:32 PM):  no idea.
ted (21:31:47 PM):  i used to work for the library.
ted (21:31:57 PM):  it was my first real job.
rita (21:31:58 PM):  Archives is like old records and stuff.
ted (21:32:14 PM):  i cant believe five years have gone by.
ariel (21:32:29 PM):  oh i see.
ted (21:32:58 PM):  ariel, go to the basement in the library. that is where all the archives are.
ariel (21:33:03 PM):  oh i see.
ariel (21:33:09 PM):  ive never had to go there.
tia (21:33:21 PM):  thanks everyone. I enjoyed this. Hopefully, we'll meet up again.
ariel (21:33:26 PM):  yep ttyl.
ariel (21:33:34 PM):  anyways im gonna go.
ariel (21:33:36 PM):  take a nap.
ariel (21:33:40 PM):  ah the college life.
ariel (21:33:46 PM):  sleep, eat, school.
ariel (21:33:48 PM):  i love it.
ariel (21:33:56 PM):  take care!
